predator,replication,predator_sex,treatment,eggs_start,eggs_end,eggs_eaten,Pconsumed
Cricket,1,Female,1,26,0,26,1
Cricket,1,Female,2,52,4,48,0.923076923
Cricket,1,Female,3,78,42,36,0.461538462
Cricket,1,Female,4,104,35,69,0.663461538
Cricket,2,Female,1,26,0,26,1
Cricket,2,Female,2,52,13,39,0.75
Cricket,2,Female,3,78,26,52,0.666666667
Cricket,2,Female,4,104,67,37,0.355769231
Cricket,3,Female,1,26,0,26,1
Cricket,3,Female,2,52,10,42,0.807692308
Cricket,3,Female,3,78,5,73,0.935897436
Cricket,3,Female,4,104,22,82,0.788461538
Cricket,4,Female,1,26,10,16,0.615384615
Cricket,4,Female,2,52,13,39,0.75
Cricket,4,Female,3,78,0,78,1
Cricket,4,Female,4,104,1,103,0.990384615
Cricket,5,Female,1,26,0,26,1
Cricket,5,Female,2,52,15,37,0.711538462
Cricket,5,Female,3,78,67,11,0.141025641
Cricket,5,Female,4,104,55,49,0.471153846
Cricket,6,Female,1,26,0,26,1
Cricket,6,Female,2,52,0,52,1
Cricket,6,Female,3,78,25,53,0.679487179
Cricket,6,Female,4,104,19,85,0.817307692
Cricket,7,Female,1,26,0,26,1
Cricket,7,Female,2,52,23,29,0.557692308
Cricket,7,Female,3,78,12,66,0.846153846
Cricket,7,Female,4,104,13,91,0.875
Cricket,8,Female,1,26,0,26,1
Cricket,8,Female,2,52,0,52,1
Cricket,8,Female,3,78,25,53,0.679487179
Cricket,8,Female,4,104,46,58,0.557692308
Cricket,9,Female,1,26,0,26,1
Cricket,9,Female,2,52,4,48,0.923076923
Cricket,9,Female,3,78,14,64,0.820512821
Cricket,9,Female,4,104,13,91,0.875
Cricket,10,Female,1,26,0,26,1
Cricket,10,Female,2,52,0,52,1
Cricket,10,Female,3,78,46,32,0.41025641
Cricket,10,Female,4,104,55,49,0.471153846
Cricket,1,Male,1,26,0,26,1
Cricket,1,Male,2,52,3,49,0.942307692
Cricket,1,Male,3,78,31,47,0.602564103
Cricket,1,Male,4,104,63,41,0.394230769
Cricket,2,Male,1,26,1,25,0.961538462
Cricket,2,Male,2,52,8,44,0.846153846
Cricket,2,Male,3,78,78,0,0
Cricket,2,Male,4,104,54,50,0.480769231
Cricket,3,Male,1,26,0,26,1
Cricket,3,Male,2,52,5,47,0.903846154
Cricket,3,Male,3,78,22,56,0.717948718
Cricket,3,Male,4,104,52,52,0.5
Cricket,4,Male,1,26,0,26,1
Cricket,4,Male,2,52,0,52,1
Cricket,4,Male,3,78,29,49,0.628205128
Cricket,4,Male,4,104,51,53,0.509615385
Cricket,5,Male,1,26,7,19,0.730769231
Cricket,5,Male,2,52,4,48,0.923076923
Cricket,5,Male,3,78,35,43,0.551282051
Cricket,5,Male,4,104,34,70,0.673076923
Cricket,6,Male,1,26,0,26,1
Cricket,6,Male,2,52,0,52,1
Cricket,6,Male,3,78,31,47,0.602564103
Cricket,6,Male,4,104,8,96,0.923076923
Cricket,7,Male,1,26,0,26,1
Cricket,7,Male,2,52,35,17,0.326923077
Cricket,7,Male,3,78,36,42,0.538461538
Cricket,7,Male,4,104,16,88,0.846153846
Cricket,8,Male,1,26,0,26,1
Cricket,8,Male,2,52,18,34,0.653846154
Cricket,8,Male,3,78,31,47,0.602564103
Cricket,8,Male,4,104,29,75,0.721153846
Cricket,9,Male,1,26,0,26,1
Cricket,9,Male,2,52,0,52,1
Cricket,9,Male,3,78,15,63,0.807692308
Cricket,9,Male,4,104,52,52,0.5
Cricket,10,Male,1,26,0,26,1
Cricket,10,Male,2,52,5,47,0.903846154
Cricket,10,Male,3,78,11,67,0.858974359
Cricket,10,Male,4,104,42,62,0.596153846
