predator,replication,predator_sex,treatment,eggs_start,eggs_end,eggs_eaten,Pconsumed
Grasshopper,1,Female,1,26,7,19,0.730769231
Grasshopper,1,Female,2,52,52,0,0
Grasshopper,1,Female,3,78,52,26,0.333333333
Grasshopper,1,Female,4,104,64,40,0.384615385
Grasshopper,2,Female,1,26,11,15,0.576923077
Grasshopper,2,Female,2,52,28,24,0.461538462
Grasshopper,2,Female,3,78,52,26,0.333333333
Grasshopper,2,Female,4,104,59,45,0.432692308
Grasshopper,3,Female,1,26,26,0,0
Grasshopper,3,Female,2,52,52,0,0
Grasshopper,3,Female,3,78,78,0,0
Grasshopper,3,Female,4,104,104,0,0
Grasshopper,4,Female,1,26,26,0,0
Grasshopper,4,Female,2,52,52,0,0
Grasshopper,4,Female,3,78,52,26,0.333333333
Grasshopper,4,Female,4,104,76,28,0.269230769
Grasshopper,5,Female,1,26,26,0,0
Grasshopper,5,Female,2,52,52,0,0
Grasshopper,5,Female,3,78,78,0,0
Grasshopper,5,Female,4,104,104,0,0
Grasshopper,6,Female,1,26,0,26,1
Grasshopper,6,Female,2,52,22,30,0.576923077
Grasshopper,6,Female,3,78,78,0,0
Grasshopper,6,Female,4,104,64,40,0.384615385
Grasshopper,7,Female,1,26,26,0,0
Grasshopper,7,Female,2,52,34,18,0.346153846
Grasshopper,7,Female,3,78,28,50,0.641025641
Grasshopper,7,Female,4,104,52,52,0.5
Grasshopper,8,Female,1,26,4,22,0.846153846
Grasshopper,8,Female,2,52,50,2,0.038461538
Grasshopper,8,Female,3,78,49,29,0.371794872
Grasshopper,8,Female,4,104,60,44,0.423076923
Grasshopper,9,Female,1,26,26,0,0
Grasshopper,9,Female,2,52,5,47,0.903846154
Grasshopper,9,Female,3,78,78,0,0
Grasshopper,9,Female,4,104,83,21,0.201923077
Grasshopper,10,Female,1,26,26,0,0
Grasshopper,10,Female,2,52,52,0,0
Grasshopper,10,Female,3,78,78,0,0
Grasshopper,10,Female,4,104,78,26,0.25
Grasshopper,1,Male,1,26,26,0,0
Grasshopper,1,Male,2,52,52,0,0
Grasshopper,1,Male,3,78,52,26,0.333333333
Grasshopper,1,Male,4,104,92,12,0.115384615
Grasshopper,2,Male,1,26,26,0,0
Grasshopper,2,Male,2,52,51,1,0.019230769
Grasshopper,2,Male,3,78,78,0,0
Grasshopper,2,Male,4,104,104,0,0
Grasshopper,3,Male,1,26,26,0,0
Grasshopper,3,Male,2,52,39,13,0.25
Grasshopper,3,Male,3,78,66,12,0.153846154
Grasshopper,3,Male,4,104,93,11,0.105769231
Grasshopper,4,Male,1,26,26,0,0
Grasshopper,4,Male,2,52,52,0,0
Grasshopper,4,Male,3,78,78,0,0
Grasshopper,4,Male,4,104,104,0,0
Grasshopper,5,Male,1,26,26,0,0
Grasshopper,5,Male,2,52,51,1,0.019230769
Grasshopper,5,Male,3,78,78,0,0
Grasshopper,5,Male,4,104,103,1,0.009615385
Grasshopper,6,Male,1,26,10,16,0.615384615
Grasshopper,6,Male,2,52,29,23,0.442307692
Grasshopper,6,Male,3,78,78,0,0
Grasshopper,6,Male,4,104,101,3,0.028846154
Grasshopper,7,Male,1,26,6,20,0.769230769
Grasshopper,7,Male,2,52,25,27,0.519230769
Grasshopper,7,Male,3,78,58,20,0.256410256
Grasshopper,7,Male,4,104,104,0,0
Grasshopper,8,Male,1,26,26,0,0
Grasshopper,8,Male,2,52,52,0,0
Grasshopper,8,Male,3,78,49,29,0.371794872
Grasshopper,8,Male,4,104,93,11,0.105769231
Grasshopper,9,Male,1,26,15,11,0.423076923
Grasshopper,9,Male,2,52,52,0,0
Grasshopper,9,Male,3,78,54,24,0.307692308
Grasshopper,9,Male,4,104,70,34,0.326923077
Grasshopper,10,Male,1,26,26,0,0
Grasshopper,10,Male,2,52,38,14,0.269230769
Grasshopper,10,Male,3,78,52,26,0.333333333
Grasshopper,10,Male,4,104,86,18,0.173076923
