predator,replication,predator_sex,treatment,eggs_start,eggs_end,eggs_eaten,Pconsumed
Katydid,1,Female,1,26,8,18,0.692307692
Katydid,1,Female,2,52,52,0,0
Katydid,1,Female,3,78,78,0,0
Katydid,1,Female,4,104,104,0,0
Katydid,2,Female,1,26,26,0,0
Katydid,2,Female,2,52,52,0,0
Katydid,2,Female,3,78,66,12,0.153846154
Katydid,2,Female,4,104,96,8,0.076923077
Katydid,3,Female,1,26,26,0,0
Katydid,3,Female,2,52,52,0,0
Katydid,3,Female,3,78,78,0,0
Katydid,3,Female,4,104,97,7,0.067307692
Katydid,4,Female,1,26,26,0,0
Katydid,4,Female,2,52,52,0,0
Katydid,4,Female,3,78,60,18,0.230769231
Katydid,4,Female,4,104,90,14,0.134615385
Katydid,5,Female,1,26,26,0,0
Katydid,5,Female,2,52,52,0,0
Katydid,5,Female,3,78,78,0,0
Katydid,5,Female,4,104,91,13,0.125
Katydid,6,Female,1,26,13,13,0.5
Katydid,6,Female,2,52,52,0,0
Katydid,6,Female,3,78,74,4,0.051282051
Katydid,6,Female,4,104,92,12,0.115384615
