predator,replication,predator_sex,treatment,eggs_start,eggs_end,eggs_eaten,Pconsumed,handling_total,handling_avg,attack_total,attack_avg
Katydid,1,Female,1,26,8,18,0.692307692,2494,2494,1.39E-05,1.39E-05
Katydid,1,Female,2,52,52,0,0,0,0,0,0.00E+00
Katydid,1,Female,3,78,78,0,0,0,0,0,0.00E+00
Katydid,1,Female,4,104,104,0,0,0,0,0,0.00E+00
Katydid,2,Female,1,26,26,0,0,0,0,0,0.00E+00
Katydid,2,Female,2,52,52,0,0,0,0,0,0.00E+00
Katydid,2,Female,3,78,66,12,0.153846154,1758,1758,1.95E-06,1.95E-06
Katydid,2,Female,4,104,96,8,0.076923077,933,933,9.30E-07,9.30E-07
Katydid,3,Female,1,26,26,0,0,0,0,0,0.00E+00
Katydid,3,Female,2,52,52,0,0,0,0,0,0.00E+00
Katydid,3,Female,3,78,78,0,0,0,0,0,0.00E+00
Katydid,3,Female,4,104,97,7,0.067307692,1107,1107,8.09E-07,8.09E-07
Katydid,4,Female,1,26,26,0,0,0,0,0,0.00E+00
Katydid,4,Female,2,52,52,0,0,0,0,0,0.00E+00
Katydid,4,Female,3,78,60,18,0.230769231,2404,801,3.10E-06,3.06E-06
Katydid,4,Female,4,104,90,14,0.134615385,1211,1211,1.69E-06,1.69E-06
Katydid,5,Female,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Katydid,5,Female,2,52,52,0,0,0,0,0.00E+00,0.00E+00
Katydid,5,Female,3,78,78,0,0,0,0,0,0.00E+00
Katydid,5,Female,4,104,91,13,0.125,3088,3088,1.57E-06,1.57E-06
Katydid,6,Female,1,26,13,13,0.5,863,863,8.06E-06,8.06E-06
Katydid,6,Female,2,52,52,0,0,0,0,0.00E+00,0.00E+00
Katydid,6,Female,3,78,74,4,0.051282051,844,281,6.10E-07,6.10E-07
Katydid,6,Female,4,104,92,12,0.115384615,1097,1097,1.18E-06,1.18E-06
