predator,replication,predator_sex,treatment,eggs_start,eggs_end,eggs_eaten,Pconsumed,handling_total,handling_avg,attack_total,attack_avg
Cricket,1,Female,1,26,0,26,1,1505,1505,0.000082676,8.27E-05
Cricket,1,Female,2,52,4,48,0.923076923,3387,1693,3.2003E-05,3.08E-05
Cricket,1,Female,3,78,42,36,0.461538462,2265,755,7.43467E-06,7.25E-06
Cricket,1,Female,4,104,35,69,0.663461538,6792,1698,1.59275E-05,1.33E-05
Cricket,2,Female,1,26,0,26,1,1663,1663,0.000084247,8.42E-05
Cricket,2,Female,2,52,13,39,0.75,2616,1308,1.68085E-05,1.64E-05
Cricket,2,Female,3,78,26,52,0.666666667,2097,699,1.33641E-05,1.29E-05
Cricket,2,Female,4,104,67,37,0.355769231,945,236,5.16956E-06,5.11E-06
Cricket,3,Female,1,26,0,26,1,4172,4172,0.000084347,8.43E-05
Cricket,3,Female,2,52,10,42,0.807692308,4128,2064,2.07E-05,1.98E-05
Cricket,3,Female,3,78,5,73,0.935897436,5577,1859,3.88354E-05,3.38E-05
Cricket,3,Female,4,104,22,82,0.788461538,3697,924,2.28369E-05,1.86E-05
Cricket,4,Female,1,26,10,16,0.615384615,774,774,0.00001112,1.11E-05
Cricket,4,Female,2,52,13,39,0.75,2959,1479,1.6914E-05,1.65E-05
Cricket,4,Female,3,78,0,78,1,1991,664,9.98561E-05,
Cricket,4,Female,4,104,1,103,0.990384615,5828,1457,5.91906E-05,5.76E-05
Cricket,5,Female,1,26,0,26,1,2444,2444,0.000083252,8.33E-05
Cricket,5,Female,2,52,15,37,0.711538462,2174,1087,1.49232E-05,1.47E-05
Cricket,5,Female,3,78,67,11,0.141025641,623,208,1.76483E-06,1.76E-06
Cricket,5,Female,4,104,55,49,0.471153846,2003,501,7.71022E-06,7.45E-06
Cricket,6,Female,1,26,0,26,1,2060,2060,0.000083105,8.31E-05
Cricket,6,Female,2,52,0,52,1,1998,999,9.85833E-05,
Cricket,6,Female,3,78,25,53,0.679487179,331,110,1.3273E-05,1.32E-05
Cricket,6,Female,4,104,19,85,0.817307692,2890,722,2.20911E-05,2.02E-05
Cricket,7,Female,1,26,0,26,1,544,544,0.0000821,8.21E-05
Cricket,7,Female,2,52,23,29,0.557692308,2132,1066,9.70876E-06,9.57E-06
Cricket,7,Female,3,78,12,66,0.846153846,2583,861,2.22911E-05,2.22E-05
Cricket,7,Female,4,104,13,91,0.875,2795,699,2.71406E-05,2.48E-05
Cricket,8,Female,1,26,0,26,1,1412,1412,0.00008262,8.26E-05
Cricket,8,Female,2,52,0,52,1,1929,965,9.85086E-05,
Cricket,8,Female,3,78,25,53,0.679487179,4546,1515,1.47515E-05,1.37E-05
Cricket,8,Female,4,104,46,58,0.557692308,1564,391,9.83885E-06,9.54E-06
Cricket,9,Female,1,26,0,26,1,919,919,0.000082323,8.23E-05
Cricket,9,Female,2,52,4,48,0.923076923,2219,1110,3.12966E-05,3.04E-05
Cricket,9,Female,3,78,14,64,0.820512821,2201,734,2.12103E-05,2.03E-05
Cricket,9,Female,4,104,13,91,0.875,2795,699,2.71406E-05,2.48E-05
Cricket,10,Female,1,26,0,26,1,2224,2224,0.000083116,8.31E-05
Cricket,10,Female,2,52,0,52,1,2594,1297,9.92392E-05,
Cricket,10,Female,3,78,46,32,0.41025641,792,264,6.18163E-06,6.13E-06
Cricket,10,Female,4,104,55,49,0.471153846,1775,444,7.67033E-06,7.45E-06
Cricket,1,Male,1,26,0,26,1,6211,6211,8.76E-05,8.76E-05
Cricket,1,Male,2,52,3,49,0.942307692,3699,1849,0.000035914,3.44E-05
Cricket,1,Male,3,78,31,47,0.602564103,19542,6514,0.0000181,1.24E-05
Cricket,1,Male,4,104,63,41,0.394230769,2843,711,0.000015,1.40E-05
