predator,replication,predator_sex,treatment,eggs_start,eggs_end,eggs_eaten,Pconsumed,handling_total,handling_avg,attack_total,attack_avg
Grasshopper,1,Female,1,26,7,19,0.730769231,754,754,1.53E-05,1.53E-05
Grasshopper,1,Female,2,52,52,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,1,Female,3,78,52,26,0.333333333,0,0,0.00E+00,0.00E+00
Grasshopper,1,Female,4,104,64,40,0.384615385,1324,331,5.75E-06,5.65E-06
Grasshopper,2,Female,1,26,11,15,0.576923077,365,365,9.98E-06,9.98E-06
Grasshopper,2,Female,2,52,28,24,0.461538462,224,112,7.18E-06,7.17E-06
Grasshopper,2,Female,3,78,52,26,0.333333333,341,341,4.71E-06,4.71E-06
Grasshopper,2,Female,4,104,59,45,0.432692308,813,203.25,6.67E-06,6.59E-06
Grasshopper,3,Female,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,3,Female,2,52,52,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,3,Female,3,78,78,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,3,Female,4,104,104,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,4,Female,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,4,Female,2,52,52,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,4,Female,3,78,52,26,0.333333333,1030,1030,4.75E-06,4.75E-06
Grasshopper,4,Female,4,104,76,28,0.269230769,566,141.5,3.66E-06,3.64E-06
Grasshopper,5,Female,1,26,26,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,5,Female,2,52,52,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,5,Female,3,78,78,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,5,Female,4,104,104,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,6,Female,1,26,0,26,1,718,718,8.18E-05,8.18E-05
Grasshopper,6,Female,2,52,22,30,0.576923077,480,480,1.00E-05,1.00E-05
Grasshopper,6,Female,3,78,78,0,0,0,0,0.00E+00,0.00E+00
Grasshopper,6,Female,4,104,64,40,0.384615385,2346,586.5,5.86E-06,5.68E-06
